Ticker,Returns,Volatility,company,Company,Industry,FullTimeEmployees,FiveYearAvgDividendYield,Beta,RegularMarketVolume,MarketCap,ProfitMargins,PriceToBook,NetIncomeToCommon,TotalRevenue,DebtToEquity,ReturnOnAssets,ReturnOnEquity,FreeCashFlow,OperatingCashFlow,GrossMargin,sharpe_ratio
CHD,0.1431327578530371,0.22736069696702102,"Church & Dwight Co., Inc.","Church & Dwight Co., Inc.",Household & Personal Products,5550,1.16,0.54,1587035,25514092544,0.09083,6.0822334,549800000,6053100032,57.536,0.08087,0.13338,671625024,1099399936,0.45654,0.629540460433224
CI,0.12768364626450657,0.32354354121294737,The Cigna Group,The Cigna Group,Healthcare Plans,70325,1.07,0.506,2039298,88561131520,0.01323,2.1140313,3039000064,229746999296,80.15,0.027999999,0.07606,-2876999936,6617999872,0.10114,0.39464130789267937
CINF,0.17436311124932447,0.32005376383035217,Cincinnati Financial Corporation,Cincinnati Financial Corporation,Insurance - Property & Casualty,5426,2.56,0.67,392098,21941936128,0.25257,1.5893881,3070000128,12154999808,6.331,0.07219,0.25135002,3040124928,2584000000,0.33262002,0.5447931908769785
CSCO,0.12108965274592487,0.2700136709858698,"Cisco Systems, Inc.","Cisco Systems, Inc.",Communication Equipment,90400,3.07,0.822,10128804,223854886912,0.19181,4.950635,10320000000,53802999808,70.931,0.072230004,0.22982,10532500480,10880000000,0.64732003,0.4484574884812468
C,0.07076078163108734,0.3572465076170951,Citigroup Inc.,Citigroup Inc.,Banks - Diversified,229000,3.76,1.434,12477832,120419065856,0.11524,0.6247976,6700000256,69307998208,,0.00339,0.03874,,,,0.19807270364397894
CFG,0.12489935938075125,0.4161311731955984,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc.",Banks - Regional,17329,4.59,1.325,2970853,18606397440,0.18229,0.8237085,1164000000,7114999808,,0.00583,0.05426,,,,0.30014420314058887
CLX,0.07303423518241721,0.2594519374858101,The Clorox Company,The Clorox Company,Household & Personal Products,7400,2.86,0.394,1160021,20104509440,0.0478,334.8866,357000000,7469000192,1287.5,0.12546,2.08451,533375008,896000000,0.44557998,0.2814942755492492
CME,0.13322563715793187,0.2607059110597684,CME Group Inc.,CME Group Inc.,Financial Data & Stock Exchanges,3565,3.24,0.561,1182466,81090240512,0.57435,2.8683336,3422099968,6034299904,12.147,0.01837,0.12297,,,1.0,0.5110188588220735
CMS,0.11531404647765477,0.22636982691541777,CMS Energy Corporation,CMS Energy Corporation,Utilities - Regulated Electric,8356,2.9,0.405,1519775,20649031680,0.14005,2.6181998,1037000000,7475999744,187.096,0.030450001,0.11501,-620000000,2372000000,0.42334998,0.5094055513005337
KO,0.10727662253441096,0.19669846776463007,The Coca-Cola Company,The Coca-Cola Company,Beverages - Non-Alcoholic,79100,3.02,0.608,6460898,281600917504,0.2245,10.624086,10408999936,46365999104,167.358,0.08437,0.3723,14017625088,5523999744,0.60433996,0.5453861626557176
CTSH,0.06554489236213767,0.295170795181466,Cognizant Technology Solutions Corporation,Cognizant Technology Solutions Corporation,Information Technology Services,340100,1.46,1.049,2671128,37380169728,0.116009995,2.587432,2252000000,19412000768,12.891,0.097799994,0.16478,1646249984,1940999936,0.3436,0.22205751189524622
CL,0.08013543930536253,0.20145957891131439,Colgate-Palmolive Company,Colgate-Palmolive Company,Household & Personal Products,34000,2.31,0.397,3301965,77011460096,0.14264,177.18045,2868000000,20106000384,1009.091,0.16329001,4.87923,2979875072,3974000128,0.6042,0.3977742817612033
CMCSA,0.06295510571622162,0.2721182022044484,Comcast Corporation,Comcast Corporation,Telecom Services,186000,2.37,1.012,16547179,162857549824,0.11924,1.9025481,14675000320,123069997056,117.127,0.05365,0.16884,20999000064,25514999808,0.69728,0.23135205659238506
CAG,0.035840008043523754,0.27505660809714993,"Conagra Brands, Inc.","Conagra Brands, Inc.",Packaged Foods,18500,3.55,0.311,3402057,13879098368,0.041389998,1.5961359,494300000,11941799936,100.881,0.0531,0.05605,1067000000,1840700032,0.2739,0.13030047993198937
COP,0.20844503845853204,0.40614455479619993,ConocoPhillips,ConocoPhillips,Oil & Gas E&P,10300,2.65,1.223,6001709,125690871808,0.17472,2.519843,9916000256,56924000256,36.695,0.1003,0.20376,7398750208,20930000896,0.48896998,0.5132286916000341
ED,0.09497616258866647,0.22688264738859945,"Consolidated Edison, Inc.","Consolidated Edison, Inc.",Utilities - Regulated Electric,14592,3.67,0.348,2062073,34552393728,0.12038,1.6019386,1783000064,14810999808,123.191,0.03121,0.08417,-1879500032,2904000000,0.52502,0.4186136034722543
STZ,0.059794606201945294,0.27238386761720595,"Constellation Brands, Inc.","Constellation Brands, Inc.",Beverages - Brewers,10600,1.44,0.876,898451,43063357440,0.05687,5.4684434,579500032,10190799872,149.155,0.08984999,0.07111,966649984,3030299904,0.5132,0.2195233026281039
CEG,0.768261254233874,0.4336257497146577,Constellation Energy Corporation,Constellation Energy Corporation,Utilities - Renewable,13871,,0.768,6337024,73109291008,0.11926,5.820468,2860000000,23982000128,65.003,0.04299,0.22846001,905000000,-4630000128,0.2147,1.771715020935494
COO,0.13833159988029772,0.28138061127038744,"The Cooper Companies, Inc.","The Cooper Companies, Inc.",Medical Instruments & Supplies,15000,0.02,0.982,636952,20953202688,0.09445,2.6432016,359300000,3804100096,36.711,0.03393,0.0465,148775008,615400000,0.66363,0.491617383499713
CPRT,0.2717610038028758,0.29256765070565943,"Copart, Inc.","Copart, Inc.",Specialty Business Services,13086,,1.269,3221592,50952900608,0.32171002,6.7694864,1363020032,4236823040,1.573,0.12967,0.20129,736320384,1472563968,0.4577,0.9288826127816969
GLW,0.13099694154707625,0.3199951878164577,Corning Incorporated,Corning Incorporated,Electronic Components,49800,2.95,1.039,3831780,40481562624,0.01237,3.4662755,156000000,12611000320,72.739,0.02754,0.019299999,1113874944,2028999936,0.33661,0.4093715984948288
CPAY,0.13596176254949596,0.3263803479863878,"Corpay, Inc.","Corpay, Inc.",Software - Infrastructure,10500,,1.224,254989,22969131008,0.26413,8.347464,1008747008,3819173120,265.571,0.067719996,0.3341,1171454720,1893277056,0.78365,0.4165745988945586
CTVA,0.2079078987816757,0.345334152444006,"Corteva, Inc.","Corteva, Inc.",Agricultural Inputs,22500,1.19,0.774,2165499,42746249216,0.05313,1.7010552,874000000,16901000192,18.583,0.02885,0.03415,2345750016,2110000000,0.43683997,0.6020484719228192
CSGP,0.19056558036867252,0.33369669511646033,"CoStar Group, Inc.","CoStar Group, Inc.",Real Estate Services,6450,,0.814,2419212,30886385664,0.06577,4.118515,175400000,2666899968,14.763,0.0023700001,0.02386,-144294496,446500000,0.79231,0.5710742214637907
COST,0.27024229582121273,0.2301273685793989,Costco Wholesale Corporation,Costco Wholesale Corporation,Discount Stores,333000,0.69,0.787,1619887,394411147264,0.02895,16.69862,7367000064,254453006336,42.118,0.0836,0.30267,4467500032,11338999808,0.12613,1.1743161949378191
CTRA,0.08019056966188125,0.37291298256044086,Coterra Energy Inc.,Coterra Energy Inc.,Oil & Gas E&P,894,4.28,0.198,6528826,17177815040,0.22549999,1.3168446,1236999936,5498999808,18.111,0.05093,0.095979996,994750016,2928999936,0.70649004,0.21503828885572293
CRWD,0.47554666897814774,0.5819608226376506,"CrowdStrike Holdings, Inc.","CrowdStrike Holdings, Inc.",Software - Infrastructure,9219,,1.098,2247573,75395850240,0.0484,26.426668,170196992,3516257024,27.398,0.00525,0.07334,1209105920,1330402944,0.75372005,0.8171455027209622
CCI,0.07683543123349641,0.27281486585513054,Crown Castle Inc.,Crown Castle Inc.,REIT - Specialty,4700,4.04,0.863,2142228,47240802304,0.18626,8.928131,1228000000,6592999936,559.592,0.03745,0.20527,1308000000,2934000128,0.72152,0.2816394590252914
CSX,0.1363051530126008,0.27994376734523047,CSX Corporation,CSX Corporation,Railroads,23400,1.27,1.189,7709699,65955934208,0.24971001,5.073826,3665999872,14680999936,147.913,0.08164,0.29458,2439124992,5383000064,0.48981997,0.48690190285432366
CMI,0.15780257779103488,0.28211214820250713,Cummins Inc.,Cummins Inc.,Specialty Industrial Machinery,75500,2.58,0.976,1195209,48625528832,0.05689,5.6793566,1944000000,34172999680,76.466,0.06758,0.1894,2762749952,2412999936,0.24306,0.5593611575980778
CVS,0.03470344059807523,0.28853714595991836,CVS Health Corporation,CVS Health Corporation,Healthcare Plans,219000,2.96,0.532,9599091,69616615424,0.01987,0.92762077,7190000128,361854992384,111.598,0.02873,0.097279996,5576374784,8072000000,0.14372,0.12027373627275012
DHR,0.20014936074989512,0.2631909973484683,Danaher Corporation,Danaher Corporation,Diagnostics & Research,61000,0.37,0.862,1697058,180619313152,0.16393,3.5205262,3934000128,23741999104,36.69,0.03858,0.07586,5169750016,6288000000,0.59873,0.7604719111455578
DRI,0.182550037730748,0.3996544509689514,"Darden Restaurants, Inc.","Darden Restaurants, Inc.",Restaurants,191105,2.85,1.304,1041113,18962151424,0.091120005,8.883141,1043299968,11416399872,326.282,0.07408,0.48619,717574976,1616000000,0.21156,0.45676968513214444
DVA,0.17600142551010012,0.3494317991303404,DaVita Inc.,DaVita Inc.,Medical Care Facilities,70000,,0.866,765780,12064090112,0.06534,31.427353,827678016,12666613760,549.552,0.06944,0.44884,1114835072,1959616000,0.32804,0.5036789037177765
DAY,0.21424477979006812,0.4500344846731646,Dayforce Inc,Dayforce Inc,Software - Application,9084,,1.293,1854616,12168132608,0.03122,4.763551,52900000,1694499968,48.404,0.00778,0.02194,134462496,290000000,0.49648997,0.4760630286935953
DECK,0.4580236314939802,0.41533067204175034,Deckers Outdoor Corporation,Deckers Outdoor Corporation,Footwear & Accessories,4800,,1.052,1013580,24865073152,0.18799,11.190346,875409984,4656732160,11.633,0.21596001,0.4357,702529344,933756032,0.57106996,1.1027926958593084
DE,0.2058053621689423,0.32004654469596117,Deere & Company,Deere & Company,Farm & Heavy Construction Machinery,83000,1.31,0.932,902069,109541228544,0.14698,4.7498546,8224000000,55955001344,288.043,0.07862,0.35481,3000000000,9831999488,0.34387,0.6430482240152098
DELL,0.34204182047048476,0.4184386658663134,Dell Technologies Inc.,Dell Technologies Inc.,Computer Hardware,120000,,0.959,6108235,93688397824,0.04325,,3972000000,91838996480,,0.04377,,3218125056,6067999744,0.22544001,0.817424029785439
DAL,0.10044264104743915,0.4375712204390584,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",Airlines,100000,2.3,1.358,5385667,37613432832,0.07712,2.7385483,4650999808,60307001344,186.78,0.05271,0.4067,9125000,6675999744,0.22594,0.22954581187184828
DVN,0.183874735647523,0.5420334265543556,Devon Energy Corporation,Devon Energy Corporation,Oil & Gas E&P,1900,4.99,2.061,10303311,25895909376,0.23742001,1.9683778,3512999936,14750000128,51.08,0.119729996,0.29691,1946499968,6735000064,0.54298,0.3392313585093702
DXCM,0.3651356119082748,0.4979270227959174,"DexCom, Inc.","DexCom, Inc.",Medical Devices,9500,,1.18,3404070,26951055360,0.17218,13.617525,680800000,3953999872,130.935,0.06062,0.32061002,353224992,821699968,0.61684,0.7333114998619605
FANG,0.24045424913218308,0.5446864786196587,"Diamondback Energy, Inc.","Diamondback Energy, Inc.",Oil & Gas E&P,1023,3.78,,3689891,51414454272,0.35312,1.3736547,3201999872,9130000384,33.29,0.0624,0.122650005,-5546749952,5696000000,0.76364,0.4414544119794213
DLR,0.1497927900711243,0.2991416181024625,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc.",REIT - Specialty,3664,3.5,0.622,1379233,61204492288,0.08209,2.9238274,400507008,5374854144,79.825,0.0086900005,0.01956,1886113536,1954306944,0.52721,0.5007420599691248
DFS,0.2168914243384498,0.43682524289559777,Discover Financial Services,Discover Financial Services,Credit Services,21100,2.28,1.41,1467289,38125285376,0.27306,2.2082455,3108999936,11685999616,105.313,0.02163,0.20263,,,0.94831,0.49651760713445614
DG,0.04015223762133431,0.31314137999388203,Dollar General Corporation,Dollar General Corporation,Discount Stores,185800,1.1,0.445,4519776,17938466816,0.03568,2.47077,1415565952,39676977152,250.873,0.042519998,0.20882,1272441088,3317806080,0.29666,0.12822399141920746
DLTR,-0.00010699778717260063,0.37646611452669915,"Dollar Tree, Inc.","Dollar Tree, Inc.",Discount Stores,65894,,0.864,6020645,14355014656,-0.0344,1.9451727,-1065299968,30966300672,146.319,0.04566,-0.12983,372362496,2763300096,0.31059998,-0.0002842162496008981
D,0.03274639245610047,0.25593831014401797,"Dominion Energy, Inc.","Dominion Energy, Inc.",Utilities - Regulated Electric,17700,4.46,0.603,3812154,49216184320,0.16946,1.879692,2278000128,14593000448,156.776,0.02589,0.085030004,2550625024,5762999808,0.48743,0.12794642754995875
DPZ,0.17709885915073298,0.31795690440609947,"Domino's Pizza, Inc.","Domino's Pizza, Inc.",Restaurants,6500,1.01,0.859,543912,14779696128,0.122609995,,572017984,4665474048,,0.31768,,463394112,615612992,0.28465,0.5569901351301986
DOV,0.17611683191746205,0.278273923487345,Dover Corporation,Dover Corporation,Specialty Industrial Machinery,25000,1.46,1.218,474317,26361442304,0.18378,4.6264415,1532728064,8474512896,59.444,0.07851,0.2911,847857280,1273246976,0.37581003,0.6328901742224197
DOW,0.11663825379833194,0.35946491269655595,Dow Inc.,Dow Inc.,Chemicals,35900,5.3,1.213,7189394,33534408704,0.02464,1.8313898,1052000000,43179999232,95.059,0.02254,0.05863,749249984,3756000000,0.1076,0.3244774376540964
DHI,0.2685665954820764,0.38159714639113856,"D.R. Horton, Inc.","D.R. Horton, Inc.",Residential Construction,,0.97,1.727,3224947,56144162816,0.12925,2.2180264,4756400128,36801400832,22.915,0.1113,0.19631,5300874752,2189799936,0.24572,0.7037961316586854
DTE,0.11022131227497312,0.24720203611792993,DTE Energy Company,DTE Energy Company,Utilities - Regulated Electric,9412,3.33,0.678,749654,25562474496,0.12332,2.2051704,1527000064,12414999552,213.847,0.02964,0.13638,-1521124992,3404000000,0.35465,0.44587542241112876
DUK,0.11691961701008503,0.22428024525478749,Duke Energy Corporation,Duke Energy Corporation,Utilities - Regulated Electric,27037,4.07,0.456,2557337,88092803072,0.14515,1.8445817,4487000064,29590999040,164.103,0.02705,0.092130005,-2722125056,11520000000,0.49855998,0.5213103672027007
DD,0.04571941195421793,0.33522831537051595,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc.",Specialty Chemicals,24000,2.04,1.326,5222854,35806203904,0.055069998,1.5176799,318000000,12058000384,32.558,0.02775,0.01391,2411000064,1800999936,0.36042,0.13638290638929437
EMN,0.10191811286600422,0.32549867613099615,Eastman Chemical Company,Eastman Chemical Company,Specialty Chemicals,14000,3.26,1.453,1127689,11693302784,0.09471,2.067213,885000000,9344000000,90.817,0.049990002,0.15925,510500000,1199000064,0.23618999,0.3131137554150528
ETN,0.2836798035225856,0.3039433916374704,Eaton Corporation plc,Eaton Corporation plc,Specialty Industrial Machinery,94000,2.08,1.01,1713550,133372100608,0.15314001,6.9766192,3768000000,24604999680,52.594,0.07414,0.20079,2551624960,4028000000,0.37834,0.9333310456078141
EBAY,0.1381144380508542,0.3143743082559098,eBay Inc.,eBay Inc.,Internet Retail,12300,1.64,1.316,5235786,29463289856,0.19677,5.4699864,2028999936,10266000384,145.0,0.06922,0.35851002,1521624960,1859000064,0.72024,0.43933118713513014
ECL,0.14264245143687634,0.2794786099804993,Ecolab Inc.,Ecolab Inc.,Specialty Chemicals,48000,1.05,1.135,719085,69898534912,0.13045,10.523063,2044700032,15674600448,103.915,0.07416,0.25164,2079887488,2899699968,0.43179,0.510387723220855
EIX,0.1254946104186015,0.28960922152652063,Edison International,Edison International,Utilities - Regulated Electric,14375,4.24,0.921,1891927,31734687744,0.07632,2.2638643,1322000000,17321000960,202.126,0.02996,0.07411,-1663374976,4698999808,0.58322,0.43332394513242206
EW,0.1534423037120834,0.3454341812291782,Edwards Lifesciences Corporation,Edwards Lifesciences Corporation,Medical Devices,19800,,1.128,3821665,40174055424,0.65859,5.400875,1567299968,6314899968,9.234,,,,,0.766,0.4442012749464482
EA,0.08647385396446175,0.28872594317237615,Electronic Arts Inc.,Electronic Arts Inc.,Electronic Gaming & Multimedia,13700,,0.788,2202756,40783450112,0.14118,5.5237827,1046000000,7408999936,29.954,0.07274,0.13962,1808375040,2198000128,0.78567004,0.29950150310128115
ELV,0.15474715772306524,0.3156806872483571,"Elevance Health, Inc.","Elevance Health, Inc.",Healthcare Plans,104900,1.14,0.828,2185155,96890470400,0.03688,2.213433,6417999872,174015004672,61.87,0.05844,0.15504,-1112249984,2131000064,0.27937,0.49020153583649617
EMR,0.13347057221049,0.3022442528523299,Emerson Electric Co.,Emerson Electric Co.,Specialty Industrial Machinery,67000,2.4,1.294,7193230,67307237376,0.101160005,3.2360706,1710000000,16963000320,40.34,0.04107,0.06474,814625024,1604999936,0.51624,0.4415983792939178
ENPH,0.7973229081993027,0.7634920836342702,"Enphase Energy, Inc.","Enphase Energy, Inc.",Solar,3157,,1.719,3774925,12151524352,0.04912,13.044235,61417000,1250240000,143.041,0.00565,0.06312,280163616,381851008,0.46192002,1.0443106422321966
ETR,0.14396989441171043,0.254472780636257,Entergy Corporation,Entergy Corporation,Utilities - Regulated Electric,12000,3.77,0.727,1606812,31292846080,0.1481,2.0816395,1756744960,11862153216,188.807,0.024149999,0.11951,-1582116992,4172163072,0.4627,0.5657575401649765
EOG,0.15221994211468143,0.4368334022421462,"EOG Resources, Inc.","EOG Resources, Inc.",Oil & Gas E&P,3050,2.42,1.285,3281830,69431746560,0.31101,2.3842623,7496999936,24105000960,14.016,0.13614,0.27056998,3723000064,11600000000,0.6273,0.3484622314442489
EPAM,0.21328491155363868,0.4929940537546489,"EPAM Systems, Inc.","EPAM Systems, Inc.",Information Technology Services,53150,,1.449,642617,10944122880,0.088640004,3.2211683,409646016,4621454848,4.885,0.080790006,0.12299,573261120,573195008,0.30111,0.4326318135670362
EQT,0.18045506560679256,0.5476924022536471,EQT Corporation,EQT Corporation,Oil & Gas E&P,881,0.49,1.064,6386887,22399518720,0.06797,1.1007829,314236992,4623048192,67.324,0.01047,0.018229999,343259872,2695083008,0.50355,0.3294825067213919
EFX,0.1780430810035301,0.3138547144629575,Equifax Inc.,Equifax Inc.,Consulting Services,15000,0.78,1.58,769846,33421178880,0.100659996,6.80523,562499968,5588199936,108.422,0.05224,0.11927,751737472,1321799936,0.55526,0.5672786572863271
EQIX,0.16552899046301253,0.2892780305919501,"Equinix, Inc.","Equinix, Inc.",REIT - Specialty,13151,1.68,0.703,437451,87706804224,0.12571,6.454703,1056177984,8401490944,140.964,0.025559999,0.08267,2946253568,3266595072,0.48073003,0.5722141779114379
EQR,0.09665607296733855,0.27216949931334183,Equity Residential,Equity Residential,REIT - Residential,2400,3.67,0.909,1273590,28170428416,0.3157,2.521529,924934016,2940828928,76.033,0.0273,0.08361,,,0.63639,0.3551319057102018
ERIE,0.2616847382092003,0.3043523946058462,Erie Indemnity Company,Erie Indemnity Company,Insurance Brokers,6481,1.87,0.428,140791,21370359808,0.1516,10.97066,559212992,3688691968,0.406,0.15749,0.31418,349279360,566227008,0.17247999,0.8598083762347165
ESS,0.10331816804894843,0.28060641470977904,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",REIT - Residential,1747,3.36,0.894,363910,19380570112,0.31354,3.4417503,549459968,1752440064,113.371,0.02683,0.10176,730355904,1053654976,0.6828,0.3681960305711708
EL,0.01831731117574077,0.35254647743177675,The Estée Lauder Companies Inc.,The Estée Lauder Companies Inc.,Household & Personal Products,44020,1.21,1.002,4946179,23642290176,0.01314,4.650473,203000000,15450999808,196.892,0.04572,0.03857,1983624960,2098000000,0.72358,0.051957152739628365
EG,0.14670843832290667,0.2934932440102168,"Everest Group, Ltd.","Everest Group, Ltd.",Insurance - Reinsurance,2844,2.24,0.614,492533,15248229376,0.16854,0.99434143,2740999936,16435500032,22.087,0.03415,0.20858,3493812480,5193999872,0.17514,0.4998698992805422
EVRG,0.08924416528707016,0.2557988426890045,"Evergy, Inc.","Evergy, Inc.",Utilities - Regulated Electric,4658,3.79,0.604,2384511,14041235456,0.13118,1.446988,739299968,5635700224,144.608,0.02526,0.07796,-979225024,1899800064,0.49953,0.34888416362216135
ES,0.07184323846813478,0.2585463856778326,Eversource Energy,Eversource Energy,Utilities - Regulated Electric,10171,3.21,,4820893,22593480704,-0.047259998,1.5307028,-549352000,11623559168,193.364,,,,,0.49400002,0.2778736909424703
EXC,0.11964708407152005,0.26067212198875606,Exelon Corporation,Exelon Corporation,Utilities - Regulated Electric,19962,3.53,0.604,4561904,38655811584,0.106000006,1.452027,2430000128,22923999232,173.221,0.02596,0.0933,-2150625024,5553999872,0.4073,0.4589945528455128
EXPE,0.15140465146310464,0.46268661044575426,"Expedia Group, Inc.","Expedia Group, Inc.",Travel Services,17100,0.96,1.795,1749599,21462611968,0.06092,24.259857,808000000,13262999552,308.137,0.03847,0.25459,1886125056,2767000064,0.88901,0.3272293773905425
EXPD,0.13390856667667195,0.2551970927381649,"Expeditors International of Washington, Inc.","Expeditors International of Washington, Inc.",Integrated Freight & Logistics,18463,1.15,0.96,2008583,17220438016,0.07403,7.343966,674692992,9113448448,25.387,0.11416,0.28525,563334272,732006016,0.13452,0.5247260665859688
EXR,0.17351282883931912,0.28401088850944073,Extra Space Storage Inc.,Extra Space Storage Inc.,REIT - Industrial,7618,3.26,0.871,778041,37173346304,0.24513,2.5500429,807097984,3297520896,81.787,0.032980002,0.05568,,,0.74237996,0.6109372417020956
XOM,0.14615808190130652,0.3126610583050208,Exxon Mobil Corporation,Exxon Mobil Corporation,Oil & Gas Integrated,62000,5.03,0.877,10421523,522839883776,0.09786,1.946558,33699999744,344367005696,15.394,0.07166,0.14513999,29154625536,56475000832,0.31644,0.4674649369309049
FFIV,0.11737679344839012,0.2996704965055885,"F5, Inc.","F5, Inc.",Software - Infrastructure,,,1.06,362391,13531254784,0.20126,4.323983,566777984,2816120064,6.895,0.0777,0.19117,786502848,792419008,0.80212,0.3916861847165564
FDS,0.17388122550564902,0.272913071439057,FactSet Research Systems Inc.,FactSet Research Systems Inc.,Financial Data & Stock Exchanges,12398,0.89,0.751,225311,17777238016,0.24381,9.286579,537126016,2203056128,82.338,0.11006,0.30411,555261760,700337984,0.54066,0.637130440798537
FICO,0.45011838050285524,0.3837143921189593,Fair Isaac Corporation,Fair Isaac Corporation,Software - Application,3588,0.09,1.352,98240,49276055552,0.28942,,478544000,1653449984,,0.2665,,498342880,570534976,0.79348,1.173055766861383
FAST,0.2166475506645302,0.2792968220839507,Fastenal Company,Fastenal Company,Industrial Distribution,20894,2.24,0.997,2136377,44736667648,0.15439999,12.436693,1154899968,7480099840,14.644,0.2034,0.32698002,822287488,1244499968,0.45228,0.7756892794126048
FRT,0.06750999950951071,0.33085959716423974,Federal Realty Investment Trust,Federal Realty Investment Trust,REIT - Retail,297,4.22,1.256,702743,9734447104,0.24791001,3.273277,284441984,1185020032,135.474,0.03082,0.09324,364418880,567582976,0.68139,0.2040442534783071
FDX,0.0887858955823209,0.357416480260577,FedEx Corporation,FedEx Corporation,Integrated Freight & Logistics,306000,1.62,1.179,947484,67291447296,0.0462,2.4761305,4040999936,87591002112,,0.047270004,0.1507,3036124928,7269000192,0.2699,0.24841018947305096
FIS,0.06471925583868708,0.3229833074482244,"Fidelity National Information Services, Inc.","Fidelity National Information Services, Inc.",Information Technology Services,60000,1.94,1.086,5952960,46605303808,0.14146,2.84751,544000000,10030999552,65.898,0.02408,0.03034,3877125120,2912000000,0.38062,0.20037956868424803
FITB,0.1699097648544943,0.4010485231573555,Fifth Third Bancorp,Fifth Third Bancorp,Banks - Regional,18579,3.8,1.237,3602957,29187770368,0.27576,1.5635415,2066000000,8064999936,,0.01041,0.119160004,,,,0.42366385871923146
FSLR,0.27139261211832166,0.491106559108252,"First Solar, Inc.","First Solar, Inc.",Solar,6700,,1.442,2747608,23112751104,0.32412997,3.043705,1248167040,3850810880,9.141,0.078990005,0.17964001,-469678368,968112000,0.46542,0.5526145132557678
FE,0.1283914935551893,0.2705274815513054,FirstEnergy Corp.,FirstEnergy Corp.,Utilities - Regulated Electric,12042,4.12,0.489,2693848,24147683328,0.06729,1.9431435,892000000,13256999936,173.13,0.02675,0.083050005,-1611500032,2804999936,0.69774,0.47459686098781767
FI,0.20429620200580606,0.2815732580223824,"Fiserv, Inc.","Fiserv, Inc.",Information Technology Services,42000,,0.933,2718161,115501932544,0.15222,4.169987,3063000064,20121999360,89.406,0.043169998,0.10618,4483125248,6005000192,0.61057997,0.7255525735670766
FMC,0.04026820333500954,0.3515765984178003,FMC Corporation,FMC Corporation,Agricultural Inputs,5800,2.28,0.855,831706,7942066176,0.34931,1.7236054,1525600000,4167899904,90.927,0.028269999,0.38454,600187520,564400000,0.37427,0.11453607411934834
F,0.11240474033942797,0.4049524955080576,Ford Motor Company,Ford Motor Company,Auto Manufacturers,177000,5.76,1.631,44623715,42127474688,0.01931,0.9506727,3528999936,182743007232,359.359,0.00746,0.0799,1992249984,14887000064,0.07679,0.2775751269254529
FTNT,0.41589753015027103,0.4273926897267829,"Fortinet, Inc.","Fortinet, Inc.",Software - Infrastructure,13527,,0.997,4406408,59601633280,0.23709999,206.68434,1312899968,5537299968,373.421,0.11603,4.30883,1411337472,1915299968,0.78089,0.973103986444269
FTV,0.07503904368980394,0.2815795258323496,Fortive Corporation,Fortive Corporation,Scientific & Technical Instruments,18000,0.41,1.163,3734492,24768688128,0.14355,2.3463485,889299968,6195200000,38.261,0.044299997,0.08615,1111237504,1471399936,0.59745,0.2664932525473519
FOXA,0.0854032117461546,0.3281573618167412,Fox Corporation,Fox Corporation,Entertainment,10200,1.47,0.771,7832610,19221102592,0.13399,1.794091,1920999936,14337000448,62.178,0.07429,0.17711,1350125056,1996999936,0.35516,0.26025078722399
FOX,0.06246682534163255,0.3178213135692602,Fox Corporation,Fox Corporation,Entertainment,10200,1.55,0.771,719410,19221080064,0.13399,1.6731133,1920999936,14337000448,62.178,0.07429,0.17711,1350125056,1996999936,0.35516,0.19654699881548274
BEN,0.005867124116895921,0.3523927054324216,"Franklin Resources, Inc.","Franklin Resources, Inc.",Asset Management,,4.55,1.407,5602927,10969420800,0.054819997,0.84979516,464800000,8478000128,26.914,,0.0427,,,0.32836,0.01664939150683146
FCX,0.2599672322996711,0.494236598444284,Freeport-McMoRan Inc.,Freeport-McMoRan Inc.,Copper,27200,3.73,1.895,5913461,67518054400,0.07812,3.7490027,1996999936,25639999488,33.531,0.08523,0.16870001,1216249984,7043999744,0.40893,0.5259975346179823
GRMN,0.20866705116536846,0.26878345751723837,Garmin Ltd.,Garmin Ltd.,Scientific & Technical Instruments,19900,2.33,1.006,1189240,39217262592,0.2548,5.227418,1517830016,5956843008,1.908,0.10241,0.21909,969167360,1414521984,0.58432996,0.7763388903946429
IT,0.25942473342573674,0.3213231270201381,"Gartner, Inc.","Gartner, Inc.",Information Technology Services,20495,,1.323,697640,39606919168,0.13668999,59.10221,828732992,6062887936,467.324,0.09696999,1.34407,879647616,1114076032,0.6778,0.8073640258376982
GE,0.1952458561586491,0.4001504916478104,GE Aerospace,GE Aerospace,Aerospace & Defense,125000,0.38,1.181,3597358,189682155520,0.08926,10.049889,5500000256,69953003520,110.224,0.03017,0.22552,4729375232,6543000064,0.23028,0.4879310665210761
GEHC,0.25639766624318416,0.30183865193334436,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,Health Information Services,51000,,,1656134,40282488832,0.08564,4.843175,1675000064,19559000064,126.093,0.05637,0.21853,1817750016,2088000000,0.41342,0.8494527278097074
GEN,0.15454355409990525,0.35264711306595425,Gen Digital Inc.,Gen Digital Inc.,Software - Infrastructure,3400,2.18,1.061,4085767,17580328960,0.16153,8.376395,624000000,3863000064,409.342,0.088690005,0.2766,1696249984,2135000064,0.8043,0.4382385347104814
